htime,haddend,hcum,vtime,vaddend,vcum,mess
1.28s,0.23ms,1276.974000000001,0.2s,0s,203.19999999999993,      Load Address: 0x86000000
1.28s,0.68ms,1277.6540000000011,0.2s,0.2ms,203.39999999999992,    Verifying Hash Integrity ... OK
1.28s,0.97ms,1278.6240000000012,0.21s,0.3ms,203.69999999999993,    Loading fdt from 0xa4f297f8 to 0x86000000
1.29s,8.94ms,1287.5640000000012,0.21s,0.5ms,204.19999999999993,    Booting using the fdt blob at 0x86000000
1.3s,2.54ms,1290.1040000000012,0.21s,0.7ms,204.89999999999992, ## Loading loadables from FIT Image at a0000000 ...
1.3s,0.71ms,1290.8140000000012,0.21s,0.2ms,205.0999999999999,    Trying 'ramdisk' loadables subimage
1.3s,0.17ms,1290.9840000000013,0.21s,0s,205.0999999999999,      Description:  buildroot initramfs
1.3s,0.49ms,1291.4740000000013,0.21s,0.1ms,205.1999999999999,      Type:         RAMDisk Image
1.3s,0.43ms,1291.9040000000014,0.21s,0.1ms,205.2999999999999,      Compression:  uncompressed
1.3s,0.68ms,1292.5840000000014,0.21s,0.2ms,205.4999999999999,      Data Start:   0xa10d7b7c
1.3s,0.18ms,1292.7640000000015,0.21s,0s,205.4999999999999,      Data Size:    65346560 Bytes = 62.3 MiB
1.3s,0.4ms,1293.1640000000016,0.21s,0.1ms,205.59999999999988,      Architecture: RISC-V
1.3s,0.42ms,1293.5840000000017,0.21s,0.1ms,205.69999999999987,      OS:           Linux
1.3s,0.37ms,1293.9540000000015,0.21s,0.1ms,205.79999999999987,      Load Address: 0x86100000
1.3s,0.41ms,1294.3640000000016,0.21s,0.1ms,205.89999999999986,      Entry Point:  unavailable
1.3s,0.89ms,1295.2540000000017,0.21s,0.3ms,206.19999999999987,    Verifying Hash Integrity ... OK
1.3s,1.36ms,1296.6140000000016,0.21s,0.5ms,206.69999999999987,    Loading loadables from 0xa10d7b7c to 0x86100000
7.92s,6.61s,7906.614000000001,3.48s,3.27s,3476.7,    Loading Kernel Image
9.22s,1.3s,9206.614000000001,3.6s,0.12s,3596.7, ## Flattened Device Tree blob at 86000000
9.22s,0.26ms,9206.874000000002,3.6s,0s,3596.7,    Booting using the fdt blob at 0x86000000
9.25s,28.09ms,9234.964000000002,3.61s,8.3ms,3605.0,"    Using Device Tree in place at 0000000086000000, end 000000008600710e"
9.27s,22.42ms,9257.384000000002,3.62s,10.3ms,3615.3,
9.27s,0.87ms,9258.254000000003,3.62s,0s,3615.3, Starting kernel ...
9.27s,43µs,9258.297000000002,3.62s,0s,3615.3,
9.32s,53.07ms,9311.367000000002,3.63s,15.6ms,3630.9," [    0.000000] Linux version 5.10.6-g93604a0a3ecc (root@runner-7005a2b9-project-3475-concurrent-0) (riscv64-buildroot-linux-gnu-gcc.br_real (Buildroot -g2e13b6d) 10.2.0, GNU ld (GNU Binutils) 2.34) #1 SMP Mon Apr 26 09:57:54 UTC 2021"
9.32s,1.79ms,9313.157000000003,3.63s,0.3ms,3631.2000000000003, [    0.000000] OF: fdt: Ignoring memory range 0x80000000 - 0x80200000
9.32s,1.32ms,9314.477000000003,3.63s,0.2ms,3631.4, [    0.000000] earlycon: sbi0 at I/O port 0x0 (options '')
9.33s,1.48ms,9315.957000000002,3.64s,0.3ms,3631.7000000000003, [    0.000000] printk: bootconsole [sbi0] enabled
9.33s,3.47ms,9319.427000000001,3.64s,0.9ms,3632.6000000000004, [    0.000000] efi: UEFI not found.
9.33s,3.26ms,9322.687000000002,3.64s,0.3ms,3632.9000000000005, [    0.000000] Initial ramdisk at: 0x(____ptrval____) (99614720 bytes)
9.35s,12.65ms,9335.337000000001,3.64s,3.3ms,3636.2000000000007," [    0.000000] Reserved memory: created CMA memory pool at 0x00000000a0000000, size 640 MiB"
9.35s,2.3ms,9337.637,3.64s,0.4ms,3636.600000000001," [    0.000000] OF: reserved mem: initialized node linux,cma, compatible id shared-dma-pool"
9.4s,51.21ms,9388.847,3.65s,6.4ms,3643.000000000001, [    0.000000] Zone ranges:
9.4s,2.94ms,9391.787,3.65s,0.4ms,3643.400000000001, [    0.000000]   DMA32    [mem 0x0000000080200000-0x00000000ffffffff]
9.4s,1.8ms,9393.587,3.65s,0.3ms,3643.700000000001, [    0.000000]   Normal   [mem 0x0000000100000000-0x000000027fffffff]
9.4s,1.29ms,9394.877,3.65s,0.2ms,3643.900000000001, [    0.000000] Movable zone start for each node
9.41s,1.15ms,9396.027,3.65s,0.2ms,3644.100000000001, [    0.000000] Early memory node ranges
9.41s,2.12ms,9398.147,3.65s,0.4ms,3644.500000000001, [    0.000000]   node   0: [mem 0x0000000080200000-0x000000027fffffff]
9.41s,2.08ms,9400.227,3.65s,0.3ms,3644.800000000001, [    0.000000] Initmem setup node 0 [mem 0x0000000080200000-0x000000027fffffff]
9.41s,2.05ms,9402.277,3.65s,0.3ms,3645.1000000000013, [    0.000000] On node 0 totalpages: 2096640
9.87s,0.46s,9862.277,3.8s,0.16s,3805.1000000000013, [    0.000000]   DMA32 zone: 7161 pages used for memmap
9.87s,1.48ms,9863.757,3.81s,0.3ms,3805.4000000000015, [    0.000000]   DMA32 zone: 0 pages reserved
9.88s,1.38ms,9865.136999999999,3.81s,0.2ms,3805.6000000000013," [    0.000000]   DMA32 zone: 523776 pages, LIFO batch:63"
10.14s,0.26s,10125.136999999999,3.94s,0.13s,3935.6000000000013, [    0.000000]   Normal zone: 21504 pages used for memmap
10.14s,1.53ms,10126.667,3.94s,0.3ms,3935.9000000000015," [    0.000000]   Normal zone: 1572864 pages, LIFO batch:63"
11.23s,1.09s,11216.667,4.45s,0.52s,4455.9000000000015, [    0.000000] software IO TLB: mapped [mem 0x00000000fbfff000-0x00000000fffff000] (64MB)
11.23s,1.77ms,11218.437,4.45s,0.3ms,4456.200000000002, [    0.000000] SBI specification v0.2 detected
11.23s,1.37ms,11219.807,4.45s,0.2ms,4456.4000000000015, [    0.000000] SBI implementation ID=0x1 Version=0x9
11.23s,1.5ms,11221.307,4.45s,0.3ms,4456.700000000002, [    0.000000] SBI v0.2 TIME extension detected
11.23s,1.22ms,11222.527,4.45s,0.2ms,4456.9000000000015, [    0.000000] SBI v0.2 IPI extension detected
11.23s,1.23ms,11223.757,4.45s,0.2ms,4457.100000000001, [    0.000000] SBI v0.2 RFENCE extension detected
11.23s,1.49ms,11225.247,4.45s,0.3ms,4457.4000000000015, [    0.000000] SBI v0.2 HSM extension detected
11.24s,3.11ms,11228.357,4.46s,0.4ms,4457.800000000001, [    0.000000] riscv: ISA extensions acdfim
11.24s,1.15ms,11229.507,4.46s,0.2ms,4458.000000000001, [    0.000000] riscv: ELF capabilities acdfim
11.25s,12.52ms,11242.027,4.46s,0.9ms,4458.900000000001, [    0.000000] percpu: Embedded 17 pages/cpu s30888 r8192 d30552 u69632
11.25s,2.93ms,11244.957,4.46s,0.4ms,4459.3, [    0.000000] pcpu-alloc: s30888 r8192 d30552 u69632 alloc=17*4096
11.26s,2.06ms,11247.017,4.46s,0.4ms,4459.7, [    0.000000] pcpu-alloc: [0] 0 [0] 1
11.26s,6.64ms,11253.657,4.46s,0.9ms,4460.599999999999," [    0.000000] Built 1 zonelists, mobility grouping on.  Total pages: 2067975"
11.27s,2.33ms,11255.987,4.46s,0.3ms,4460.9," [    0.000000] Kernel command line: console=ttyS0,115200  debug rootwait  earlycon=sbi"
11.3s,38.08ms,11294.067,4.47s,12ms,4472.9," [    0.000000] Dentry cache hash table entries: 1048576 (order: 11, 8388608 bytes, linear)"
11.32s,17.77ms,11311.837,4.48s,6ms,4478.9," [    0.000000] Inode-cache hash table entries: 524288 (order: 10, 4194304 bytes, linear)"
11.32s,1.29ms,11313.127,4.48s,0.2ms,4479.099999999999, [    0.000000] Sorting __ex_table...
11.33s,6.83ms,11319.957,4.48s,2.5ms,4481.599999999999," [    0.000000] mem auto-init: stack:off, heap alloc:off, heap free:off"
12.18s,0.85s,12169.957,4.95s,0.47s,4951.599999999999," [    0.000000] Memory: 6735000K/8386560K available (6771K kernel code, 4266K rwdata, 4096K rodata, 230K init, 392K bss, 996200K reserved, 655360K cma-reserved)"
12.2s,18.35ms,12188.307,4.95s,1.3ms,4952.9," [    0.000000] SLUB: HWalign=64, Order=0-3, MinObjects=0, CPUs=2, Nodes=1"
12.21s,13.63ms,12201.937,4.95s,1.2ms,4954.099999999999, [    0.000000] rcu: Hierarchical RCU implementation.
12.21s,1.86ms,12203.797,4.95s,0.3ms,4954.4, [    0.000000] rcu: RCU debug extended QS entry/exit.
12.21s,1.52ms,12205.317000000001,4.95s,0.2ms,4954.599999999999, [    0.000000] Tracing variant of Tasks RCU enabled.
12.22s,2.42ms,12207.737000000001,4.95s,0.4ms,4954.999999999999, [    0.000000] rcu: RCU calculated value of scheduler-enlistment delay is 10 jiffies.
12.22s,3.18ms,12210.917000000001,4.95s,0.4ms,4955.399999999999," [    0.000000] NR_IRQS: 64, nr_irqs: 64, preallocated irqs: 0"
12.23s,7.07ms,12217.987000000001,4.95s,1.1ms,4956.499999999999, [    0.000000] riscv-intc: 64 local interrupts mapped
12.25s,24.04ms,12242.027000000002,4.95s,3.9ms,4960.399999999999, [    0.000000] plic: disable L2 cache irq 1 in plic
